year,city,country,avg_temp
1842,New York,United States,9.41
1843,New York,United States,8.49
1844,New York,United States,9.12
1845,New York,United States,9.49
1846,New York,United States,9.66
1847,New York,United States,9.30
1848,New York,United States,9.54
1849,New York,United States,8.83
1850,New York,United States,9.10
1851,New York,United States,9.26
1852,New York,United States,8.98
1853,New York,United States,9.68
1854,New York,United States,9.56
1855,New York,United States,9.11
1856,New York,United States,8.20
1857,New York,United States,8.52
1858,New York,United States,9.13
1859,New York,United States,9.17
1860,New York,United States,9.18
1861,New York,United States,9.47
1862,New York,United States,9.00
1863,New York,United States,9.09
1864,New York,United States,9.29
1865,New York,United States,9.64
1866,New York,United States,8.95
1867,New York,United States,8.59
1868,New York,United States,7.95
1869,New York,United States,8.85
1870,New York,United States,10.04
1871,New York,United States,8.94
1872,New York,United States,8.61
1873,New York,United States,8.44
1874,New York,United States,9.06
1875,New York,United States,7.74
1876,New York,United States,9.35
1877,New York,United States,10.15
1878,New York,United States,10.38
1879,New York,United States,9.37
1880,New York,United States,9.99
1881,New York,United States,9.77
1882,New York,United States,9.22
1883,New York,United States,8.59
1884,New York,United States,9.36
1885,New York,United States,8.37
1886,New York,United States,8.90
1887,New York,United States,9.10
1888,New York,United States,8.31
1889,New York,United States,9.86
1890,New York,United States,9.62
1891,New York,United States,10.00
1892,New York,United States,9.15
1893,New York,United States,8.68
1894,New York,United States,9.95
1895,New York,United States,9.22
1896,New York,United States,9.51
1897,New York,United States,9.63
1898,New York,United States,10.24
1899,New York,United States,9.51
1900,New York,United States,10.40
1901,New York,United States,9.29
1902,New York,United States,9.43
1903,New York,United States,9.32
1904,New York,United States,7.87
1905,New York,United States,9.10
1906,New York,United States,9.90
1907,New York,United States,8.49
1908,New York,United States,9.87
1909,New York,United States,9.51
1910,New York,United States,9.55
1911,New York,United States,9.91
1912,New York,United States,9.24
1913,New York,United States,10.76
1914,New York,United States,9.02
1915,New York,United States,9.85
1916,New York,United States,9.10
1917,New York,United States,8.24
1918,New York,United States,9.51
1919,New York,United States,10.05
1920,New York,United States,9.19
1921,New York,United States,10.91
1922,New York,United States,10.04
1923,New York,United States,9.51
1924,New York,United States,8.85
1925,New York,United States,9.72
1926,New York,United States,8.54
1927,New York,United States,9.70
1928,New York,United States,9.82
1929,New York,United States,9.97
1930,New York,United States,10.22
1931,New York,United States,11.03
1932,New York,United States,10.44
1933,New York,United States,10.18
1934,New York,United States,9.48
1935,New York,United States,9.48
1936,New York,United States,9.73
1937,New York,United States,10.16
1938,New York,United States,10.42
1939,New York,United States,10.07
1940,New York,United States,8.53
1941,New York,United States,10.19
1942,New York,United States,9.96
1943,New York,United States,9.58
1944,New York,United States,10.01
1945,New York,United States,9.94
1946,New York,United States,10.63
1947,New York,United States,9.91
1948,New York,United States,9.83
1949,New York,United States,11.39
1950,New York,United States,9.72
1951,New York,United States,10.27
1952,New York,United States,10.52
1953,New York,United States,11.17
1954,New York,United States,10.31
1955,New York,United States,10.39
1956,New York,United States,9.75
1957,New York,United States,10.50
1958,New York,United States,9.16
1959,New York,United States,10.77
1960,New York,United States,9.76
1961,New York,United States,10.03
1962,New York,United States,9.32
1963,New York,United States,9.32
1964,New York,United States,9.96
1965,New York,United States,9.63
1966,New York,United States,9.75
1967,New York,United States,9.30
1968,New York,United States,9.75
1969,New York,United States,9.76
1970,New York,United States,9.77
1971,New York,United States,10.01
1972,New York,United States,9.49
1973,New York,United States,10.96
1974,New York,United States,10.08
1975,New York,United States,10.56
1976,New York,United States,9.53
1977,New York,United States,9.96
1978,New York,United States,9.17
1979,New York,United States,10.02
1980,New York,United States,9.86
1981,New York,United States,9.95
1982,New York,United States,9.78
1983,New York,United States,10.51
1984,New York,United States,10.26
1985,New York,United States,10.26
1986,New York,United States,10.15
1987,New York,United States,10.32
1988,New York,United States,9.93
1989,New York,United States,9.66
1990,New York,United States,11.32
1991,New York,United States,11.36
1992,New York,United States,9.57
1993,New York,United States,10.04
1994,New York,United States,10.00
1995,New York,United States,10.24
1996,New York,United States,9.81
1997,New York,United States,10.00
1998,New York,United States,11.82
1999,New York,United States,11.16
2000,New York,United States,9.97
2001,New York,United States,10.93
2002,New York,United States,11.25
2003,New York,United States,9.84
2004,New York,United States,10.39
2005,New York,United States,10.68
2006,New York,United States,11.52
2007,New York,United States,10.63
2008,New York,United States,10.64
2009,New York,United States,10.14
2010,New York,United States,11.36
2011,New York,United States,11.27
2012,New York,United States,11.97
2013,New York,United States,12.16
