year,city,country,avg_temp
1945,Hyderabad,India,26.70
1946,Hyderabad,India,26.93
1947,Hyderabad,India,27.07
1948,Hyderabad,India,27.26
1949,Hyderabad,India,26.86
1950,Hyderabad,India,26.88
1951,Hyderabad,India,27.10
1952,Hyderabad,India,27.28
1953,Hyderabad,India,27.44
1954,Hyderabad,India,27.03
1955,Hyderabad,India,26.81
1956,Hyderabad,India,26.79
1957,Hyderabad,India,27.24
1958,Hyderabad,India,27.55
1959,Hyderabad,India,27.38
1960,Hyderabad,India,27.31
1961,Hyderabad,India,27.04
1962,Hyderabad,India,26.73
1963,Hyderabad,India,26.81
1964,Hyderabad,India,27.20
1965,Hyderabad,India,27.21
1966,Hyderabad,India,27.46
1967,Hyderabad,India,27.01
1968,Hyderabad,India,26.90
1969,Hyderabad,India,27.34
1970,Hyderabad,India,26.84
1971,Hyderabad,India,26.71
1972,Hyderabad,India,27.68
1973,Hyderabad,India,27.63
1974,Hyderabad,India,27.01
1975,Hyderabad,India,26.72
1976,Hyderabad,India,27.12
1977,Hyderabad,India,27.32
1978,Hyderabad,India,27.01
1979,Hyderabad,India,27.67
1980,Hyderabad,India,27.70
1981,Hyderabad,India,27.10
1982,Hyderabad,India,27.43
1983,Hyderabad,India,27.35
1984,Hyderabad,India,27.38
1985,Hyderabad,India,27.51
1986,Hyderabad,India,27.71
1987,Hyderabad,India,27.54
1988,Hyderabad,India,27.44
1989,Hyderabad,India,27.06
1990,Hyderabad,India,26.91
1991,Hyderabad,India,27.35
1992,Hyderabad,India,27.24
1993,Hyderabad,India,27.24
1994,Hyderabad,India,27.07
1995,Hyderabad,India,27.24
1996,Hyderabad,India,27.37
1997,Hyderabad,India,27.47
1998,Hyderabad,India,27.87
1999,Hyderabad,India,27.24
2000,Hyderabad,India,27.23
2001,Hyderabad,India,27.56
2002,Hyderabad,India,27.67
2003,Hyderabad,India,27.84
2004,Hyderabad,India,27.23
2005,Hyderabad,India,27.49
2006,Hyderabad,India,27.47
2007,Hyderabad,India,27.55
2008,Hyderabad,India,27.45
2009,Hyderabad,India,28.03
2010,Hyderabad,India,27.69
2011,Hyderabad,India,27.41
2012,Hyderabad,India,28.02
2013,Hyderabad,India,28.85
